date,week_of_year,forecast
2024-01-08,2,28130293.456425015
2024-01-15,3,47709398.94448704
2024-01-22,4,50863558.925507575
2024-01-29,5,50105850.367868245
2024-02-05,6,45919848.782655135
2024-02-12,7,40106371.110332824
2024-02-19,8,35615133.1740191
2024-02-26,9,29121388.591504753
2024-03-04,10,29243141.44929241
2024-03-11,11,27355559.675618365
2024-03-18,12,29609299.685309313
2024-03-25,13,29554664.32610781
2024-04-01,14,30428577.46376262
2024-04-08,15,28606217.126942668
2024-04-15,16,28831465.613098174
2024-04-22,17,28729516.93276306
2024-04-29,18,25782007.646095335
2024-05-06,19,21162480.600487422
2024-05-13,20,24555267.581153262
2024-05-20,21,27731259.62512364
2024-05-27,22,26914051.749429155
2024-06-03,23,24897282.40522254
2024-06-10,24,22357403.892909262
2024-06-17,25,26171411.965533417
2024-06-24,26,25085753.08836308
2024-07-01,27,26155451.867576838
2024-07-08,28,25398717.335565817
2024-07-15,29,27131531.97441029
2024-07-22,30,29964372.116168935
2024-07-29,31,31913547.025669895
2024-08-05,32,32760541.68670272
2024-08-12,33,33974964.63664319
2024-08-19,34,35447837.10311285
2024-08-26,35,37314553.7279212
2024-09-02,36,34780833.61483358
2024-09-09,37,34845006.40758765
2024-09-16,38,33725426.57904757
2024-09-23,39,32143152.243752882
2024-09-30,40,27532274.756909754
2024-10-07,41,25799308.36276332
2024-10-14,42,25017313.454568576
2024-10-21,43,25973219.18244575
2024-10-28,44,25499996.15875267
2024-11-04,45,24594060.722823378
2024-11-11,46,33829092.380104885
2024-11-18,47,39770120.0441362
2024-11-25,48,45560711.00597592
2024-12-02,49,58154619.569663145
2024-12-09,50,69481180.2185848
2024-12-16,51,74842337.61293083
2024-12-23,52,80000746.79434666
2024-12-30,1,36814797.19485583
